Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_X 	Run 1; Fc 5-1; Cy 3; 3321; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM; Fitted_Y 	
-12.8999996185303 	0.0919999999023275 	-12.8999996185303 	0 	
-12.8000011444092 	0.0755000064855267 	-12.8000011444092 	0 	
-12.7000007629395 	0.0657000096289266 	-12.7000007629395 	0 	
-12.6000003814697 	0.0711000127266743 	-12.6000003814697 	0 	
-12.5 	0.0720999892691907 	-12.5 	0 	
-12.3999996185303 	0.0545999971618585 	-12.3999996185303 	0 	
-12.3000011444092 	0.0438000002141052 	-12.3000011444092 	0 	
-12.2000007629395 	0.0610999940363399 	-12.2000007629395 	0 	
-12.1000003814697 	0.0512999871243665 	-12.1000003814697 	0 	
-12 	0.0306000005693932 	-12 	0 	
-11.8999996185303 	0.0640999944662326 	-11.8999996185303 	0 	
-11.8000011444092 	0.0853999834980641 	-11.8000011444092 	0 	
-11.7000007629395 	0.084099978350423 	-11.7000007629395 	0 	
-11.6000003814697 	0.0909000175452093 	-11.6000003814697 	0 	
-11.5 	0.0911000272717502 	-11.5 	0 	
-11.3999996185303 	0.0459999781596707 	-11.3999996185303 	0 	
-11.3000011444092 	0.0543999967558193 	-11.3000011444092 	0 	
-11.2000007629395 	0.0593999822594924 	-11.2000007629395 	0 	
-11.1000003814697 	0.010600028130284 	-11.1000003814697 	0 	
-11 	0.0450000052442192 	-11 	0 	
-10.8999996185303 	0.0576999830227578 	-10.8999996185303 	0 	
-10.8000011444092 	0.0654000105823798 	-10.8000011444092 	0 	
-10.7000007629395 	0.0643000131130975 	-10.7000007629395 	0 	
-10.6000003814697 	0.0792999986624636 	-10.6000003814697 	0 	
-10.5 	0.080899994372885 	-10.5 	0 	
-10.3999996185303 	0.0941000011916913 	-10.3999996185303 	0 	
-10.3000011444092 	0.111800004575343 	-10.3000011444092 	0 	
-10.2000007629395 	0.0450000022283348 	-10.2000007629395 	0 	
-10.1000003814697 	0.0290000004133617 	-10.1000003814697 	0 	
-10 	0.0287000003991125 	-10 	0 	
-9.89999961853027 	0.0151999993577192 	-9.89999961853027 	0 	
-9.80000114440918 	0.0132000008889008 	-9.80000114440918 	0 	
-9.70000076293945 	0.0147000008728355 	-9.70000076293945 	0 	
-9.60000038146973 	0.0195999998613843 	-9.60000038146973 	0 	
-9.5 	0.020600000207196 	-9.5 	0 	
-9.39999961853027 	0.0163000002357876 	-9.39999961853027 	0 	
-9.30000114440918 	0.0186000008907286 	-9.30000114440918 	0 	
-9.20000076293945 	0.0170000008911302 	-9.20000076293945 	0 	
-9.10000038146973 	0.0142999993768171 	-9.10000038146973 	0 	
-9 	0.0148999995435588 	-9 	0 	
-8.89999961853027 	0.0122000000592379 	-8.89999961853027 	0 	
-8.80000114440918 	0.00809999922057614 	-8.80000114440918 	0 	
-8.70000076293945 	0.00449999957709224 	-8.70000076293945 	0 	
-8.60000038146973 	0.00580000058471342 	-8.60000038146973 	0 	
-8.5 	0.00549999966096948 	-8.5 	0 	
-8.39999961853027 	0.00390000034894911 	-8.39999961853027 	0 	
-8.30000114440918 	0.00159999984680326 	-8.30000114440918 	0 	
-8.20000076293945 	0.0012000004426227 	-8.20000076293945 	0 	
