Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_X 	Run 1; Fc 3-1; Cy 4; 3006; Conc 0.1524158 0.4572474 1.371742 4.115226 12.34568 37.03704 111.1111 333.3333 1000 nM_Y 	
-18.7000007629395 	0.118399994422361 	
-18.6000003814697 	0.118900006604235 	
-18.5 	0.119700003888283 	
-18.4000015258789 	0.119100000832987 	
-18.2999992370605 	0.118699995757197 	
-18.2000007629395 	0.117999997448351 	
-18.1000003814697 	0.118600001169398 	
-18 	0.117899999808287 	
-17.9000015258789 	0.116799993371387 	
-17.7999992370605 	0.115999997091421 	
-17.7000007629395 	0.114100007249363 	
-17.6000003814697 	0.113100002505234 	
-17.5 	0.11199999301607 	
-17.4000015258789 	0.11129999334662 	
-17.2999992370605 	0.111300005533849 	
-17.2000007629395 	0.111399992656516 	
-17.1000003814697 	0.113999996709026 	
-17 	0.117400004150113 	
-16.9000015258789 	0.119100004816573 	
-16.7999992370605 	0.12070000717722 	
-16.7000007629395 	0.120700002429658 	
-16.6000003814697 	0.120100001073297 	
-16.5 	0.11970000582005 	
-16.4000015258789 	0.120600004458538 	
-16.2999992370605 	0.118999996328057 	
-16.2000007629395 	0.11929999327549 	
-16.1000003814697 	0.118999996997445 	
-16 	0.117699995302246 	
-15.9000005722046 	0.119700001381716 	
-15.8000001907349 	0.119100003408676 	
-15.7000007629395 	0.120099999334343 	
-15.6000003814697 	0.11979999966934 	
-15.5 	0.120300003050943 	
-15.4000005722046 	0.120500000000902 	
-15.3000001907349 	0.120799995256675 	
-15.2000007629395 	0.117800001691649 	
-15.1000003814697 	0.117800003721641 	
-15 	0.119199998975091 	
-14.8999996185303 	0.11710000441235 	
-14.8000011444092 	0.112700004101498 	
-14.7000007629395 	0.105700003121456 	
-14.6000003814697 	0.106999996711238 	
-14.5 	0.111700000452402 	
-14.3999996185303 	0.122900004149415 	
-14.3000011444092 	0.135100007177243 	
-14.2000007629395 	0.139999996685219 	
-14.1000003814697 	0.147000003791618 	
-14 	0.145999994972954 	
-13.8999996185303 	0.139499995661026 	
-13.8000011444092 	0.138800004791847 	
-13.7000007629395 	0.138999997332576 	
-13.6000003814697 	0.133899999022105 	
-13.5 	0.128700001405377 	
-13.3999996185303 	0.129199997332762 	
-13.3000011444092 	0.135699996641051 	
-13.2000007629395 	0.138800006461679 	
-13.1000003814697 	0.144899995637388 	
-13 	0.141299996328598 	
-12.8999996185303 	0.148599997355632 	
-12.8000011444092 	0.152200005839404 	
-12.7000007629395 	0.165699999379285 	
-12.6000003814697 	0.17149999940375 	
-12.5 	0.150900005912263 	
-12.3999996185303 	0.1785000041491 	
-12.3000011444092 	0.193900006557669 	
-12.2000007629395 	0.164999995828111 	
-12.1000003814697 	0.16559999475794 	
-12 	0.129399997375003 	
-11.8999996185303 	0.102099994706805 	
-11.8000011444092 	0.0690000002396118 	
-11.7000007629395 	0.0472000031841162 	
-11.6000003814697 	0.0520000057731522 	
-11.5 	0.0410000097763259 	
-11.3999996185303 	-0.0113999968998542 	
-11.3000011444092 	0.00249998359504389 	
-11.2000007629395 	-0.00400002632159158 	
-11.1000003814697 	-0.0380999704357237 	
-11 	0.00630002317484468 	
-10.8999996185303 	0.0416999919907539 	
-10.8000011444092 	0.0534999795927433 	
-10.7000007629395 	0.0681999977095984 	
-10.6000003814697 	0.0836000066265115 	
-10.5 	0.0934000131637731 	
-10.3999996185303 	0.102500002718443 	
-10.3000011444092 	0.122100002372463 	
-10.2000007629395 	0.108100000685226 	
-10.1000003814697 	0.0310999998073385 	
-10 	0.0334000000475498 	
-9.89999961853027 	0.032299999933457 	
-9.80000114440918 	0.0289999998203712 	
-9.70000076293945 	0.0366000000103668 	
-9.60000038146973 	0.0385999999853084 	
-9.5 	0.0361000000411877 	
-9.39999961853027 	0.0317999999060703 	
-9.30000114440918 	0.0357999999723688 	
-9.20000076293945 	0.0355000000054133 	
-9.10000038146973 	0.0339000000203669 	
-9 	0.0345999999881315 	
-8.89999961853027 	0.0337999999937892 	
-8.80000114440918 	0.0317000000286498 	
-8.70000076293945 	0.0295000000078289 	
-8.60000038146973 	0.0329999999885331 	
-8.5 	0.0311999999576074 	
-8.39999961853027 	0.0307000000575499 	
-8.30000114440918 	0.0310000000063155 	
-8.20000076293945 	0.0338000000228931 	
-8.10000038146973 	0.0318000000297616 	
-8 	0.0295999999834748 	
-7.89999961853027 	0.0286000001069624 	
-7.80000114440918 	0.0265000000508735 	
-7.70000076293945 	0.0223999999834632 	
-7.60000038146973 	0.0213999999759835 	
-7.5 	0.0184000000153901 	
-7.39999961853027 	0.01589999998032 	
-7.30000114440918 	0.0175000000272121 	
-7.20000076293945 	0.0166999999200925 	
-7.10000038146973 	0.0162000000636908 	
-7 	0.0127000000575208 	
-6.89999961853027 	0.0096999999768741 	
-6.80000114440918 	0.00920000000405707 	
-6.70000076293945 	0.00769999997646664 	
-6.60000038146973 	0.00680000000647851 	
-6.5 	0.00550000003931927 	
-6.39999961853027 	0.00440000005619368 	
-6.30000114440918 	0.00279999993290403 	
