Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_X 	Run 1; Fc 2; Cy 3; RAD51; Conc 2.29 6.86 20.58 61.73 185.2 555.6 1667 5000 nM_Y 	
9.90000152587891 	3.10230004119876 	
10 	3.10219988136305 	
10.1000022888184 	3.10169995994511 	
10.2000007629395 	3.10240006866297 	
10.3000030517578 	3.10489989967391 	
10.4000015258789 	3.10729989967149 	
10.5 	3.10819990577511 	
10.6000022888184 	3.10909998130592 	
10.7000007629395 	3.10929985465918 	
10.8000030517578 	3.10839996948198 	
10.9000015258789 	3.1077999454501 	
11 	3.10779985199042 	
11.1000022888184 	3.10889992751981 	
11.2000007629395 	3.1100999366754 	
11.3000030517578 	3.11089994277791 	
11.4000015258789 	3.11200005149658 	
11.5 	3.1132000575999 	
11.6000022888184 	3.11400006370604 	
11.7000007629395 	3.11460006980997 	
11.8000030517578 	3.11540007591248 	
11.9000015258789 	3.11579991302278 	
12 	3.11669998550497 	
12.1000022888184 	3.11819991912853 	
12.2000007629395 	3.12000009117037 	
12.3000030517578 	3.12199999160657 	
12.4000015258789 	3.12420006103639 	
12.5 	3.12580003089897 	
12.6000022888184 	3.1279000671384 	
12.7000007629395 	3.13020010032778 	
12.8000030517578 	3.13189989509556 	
12.9000015258789 	3.13430006408817 	
13 	3.13620006408746 	
13.1000022888184 	3.13799992523127 	
13.2000007629395 	3.13990009422196 	
13.3000030517578 	3.1406998920429 	
13.4000015258789 	3.14219996147222 	
13.5 	3.14300006408666 	
13.6000022888184 	3.14470006408737 	
13.7000007629395 	3.1468999614699 	
13.8000030517578 	3.14939999465787 	
13.9000015258789 	3.15190006103512 	
14 	3.15339989204222 	
14.1000022888184 	3.15580006103482 	
14.2000007629395 	3.15799999160663 	
14.3000030517578 	3.15970002479662 	
14.4000015258789 	3.16149988899269 	
14.5 	3.16339995536691 	
14.6000022888184 	3.16590005492981 	
14.7000007629395 	3.16879994621195 	
14.8000030517578 	3.17090007896331 	
14.9000015258789 	3.17290007591146 	
15 	3.17539990387013 	
15.1000022888184 	3.17810013923736 	
15.2000007629395 	3.18129999732992 	
15.3000030517578 	3.18399992485138 	
15.4000015258789 	3.18719995193533 	
15.5 	3.19050008163322 	
15.6000022888184 	3.19340011176973 	
15.7000007629395 	3.19650007247765 	
15.8000030517578 	3.19930003318586 	
15.9000015258789 	3.20230002708558 	
16 	3.20560009040855 	
16.1000022888184 	3.20870011749139 	
16.2000007629395 	3.21220014457504 	
16.3000030517578 	3.21509993324071 	
16.4000015258789 	3.21839999351505 	
16.5 	3.22119995422327 	
16.6000022888184 	3.22459997825717 	
16.7000007629395 	3.22759993591171 	
16.8000030517578 	3.23049996299596 	
16.9000015258789 	3.23379995384312 	
17 	3.2371000473031 	
17.1000022888184 	3.24040014076309 	
17.2000007629395 	3.24370009841732 	
17.3000030517578 	3.24720008926306 	
17.4000015258789 	3.25069997749233 	
17.5 	3.25379996833726 	
17.6000022888184 	3.25719995918189 	
17.7000007629395 	3.26050005264187 	
17.8000030517578 	3.26400007667326 	
17.9000015258789 	3.26820016708371 	
18 	3.27250005226233 	
18.1000022888184 	3.2756999404919 	
18.2000007629395 	3.27889993133431 	
18.3000030517578 	3.28210012740965 	
18.4000015258789 	3.28630015144154 	
18.5 	3.29059997024524 	
18.6000022888184 	3.293799927902 	
18.7000007629395 	3.29720008773802 	
18.8000030517578 	3.30100007858346 	
18.9000015258789 	3.3050001358024 	
19 	3.30889998779094 	
19.1000022888184 	3.31250001182343 	
19.2000007629395 	3.3165999996163 	
19.3000030517578 	3.32139998435741 	
19.4000015258789 	3.32509997215311 	
19.5 	3.32890006255911 	
