Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM_Y 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_X 	Run 1; Fc 2-1; Cy 4; Furosemide; Conc 6.103516 24.41406 97.65625 390.625 1562.5 6250 25000 100000 nM; Fitted_Y 	
-4.39999961853027 	-0.00160000003961613 	-4.39999961853027 	0 	
-4.29999923706055 	-0.00199999994219979 	-4.29999923706055 	0 	
-4.20000076293945 	-0.0034999656927539 	-4.20000076293945 	0 	
-4.10000038146973 	-0.00330000009853393 	-4.10000038146973 	0 	
-4 	-0.0041000001001521 	-4 	0 	
-3.89999961853027 	-0.00650000001041917 	-3.89999961853027 	0 	
-3.79999923706055 	-0.00790000013512326 	-3.79999923706055 	0 	
-3.70000076293945 	-0.010199973541603 	-3.70000076293945 	0 	
-3.60000038146973 	-0.0104000000355882 	-3.60000038146973 	0 	
-3.5 	-0.00749999983236194 	-3.5 	0 	
-3.39999961853027 	-0.010500000200409 	-3.39999961853027 	0 	
-3.29999923706055 	-0.012899999775982 	-3.29999923706055 	0 	
-3.20000076293945 	-0.0120999813079834 	-3.20000076293945 	0 	
-3.10000038146973 	-0.0133000001005712 	-3.10000038146973 	0 	
-3 	-0.00890000002982561 	-3 	0 	
-2.89999961853027 	-0.00910000011208467 	-2.89999961853027 	0 	
-2.79999923706055 	-0.00819999959639972 	-2.79999923706055 	0 	
-2.70000076293945 	-0.010499961739697 	-2.70000076293945 	0 	
-2.60000038146973 	-0.00819999984378228 	-2.60000038146973 	0 	
-2.5 	-0.00940000008995412 	-2.5 	0 	
-2.39999961853027 	-0.013000000421016 	-2.39999961853027 	0 	
-2.29999923706055 	-0.0148000007320661 	-2.29999923706055 	0 	
-2.20000076293945 	-0.0193999333205284 	-2.20000076293945 	0 	
-2.10000038146973 	-0.0197000008702162 	-2.10000038146973 	0 	
-2 	-0.0195999993520672 	-2 	0 	
-1.89999961853027 	-0.01980000086769 	-1.89999961853027 	0 	
-1.79999923706055 	-0.0292999993180274 	-1.79999923706055 	0 	
-1.70000076293945 	-0.0323999706888571 	-1.70000076293945 	0 	
-1.60000038146973 	-0.0425000018294668 	-1.60000038146973 	0 	
-1.5 	-0.0570000017833081 	-1.5 	0 	
-1.39999961853027 	-0.0606000014377059 	-1.39999961853027 	0 	
-1.29999923706055 	-0.0723001010410371 	-1.29999923706055 	0 	
-1.20000076293945 	-0.0735000007625786 	-1.20000076293945 	0 	
-1.10000038146973 	-0.0902999975078274 	-1.10000038146973 	0 	
-1 	-0.0985999999538762 	-1 	0 	
-0.899999618530273 	-0.0987999976568972 	-0.899999618530273 	0 	
-0.799999237060547 	-0.102600021360558 	-0.799999237060547 	0 	
-0.700000762939453 	 	-0.700000762939453 	0 	
-0.600000381469727 	 	-0.600000381469727 	0 	
-0.5 	 	-0.5 	0 	
-0.399999618530273 	 	-0.399999618530273 	0 	
-0.299999237060547 	 	-0.299999237060547 	0 	
-0.200000762939453 	 	-0.200000762939453 	0 	
-0.100000381469727 	 	-0.100000381469727 	0 	
0 	 	0 	0 	
0.100000381469727 	 	0.100000381469727 	0 	
0.200000762939453 	 	0.200000762939453 	0.000221309641670515 	
0.299999237060547 	 	0.299999237060547 	0.000441558266473864 	
0.399999618530273 	 	0.399999618530273 	0.000660759172011909 	
0.5 	 	0.5 	0.000878912980224934 	
0.600000381469727 	 	0.600000381469727 	0.00109602481488327 	
0.700000762939453 	 	0.700000762939453 	0.00131209969020593 	
0.799999237060547 	 	0.799999237060547 	0.00152713845663238 	
0.899999618530273 	 	0.899999618530273 	0.00174115420970331 	
1 	 	1 	0.00195414783179273 	
1.09999847412109 	 	1.09999847412109 	0.00216612008738344 	
1.20000076293945 	 	1.20000076293945 	0.00237708809004074 	
1.29999923706055 	 	1.29999923706055 	0.00258704047443495 	
1.40000152587891 	 	1.40000152587891 	0.00279599815888124 	
1.5 	 	1.5 	0.00300394994065652 	
1.59999847412109 	 	1.59999847412109 	0.00321090858057822 	
1.70000076293945 	 	1.70000076293945 	0.00341688665576192 	
1.79999923706055 	1.52690147648536 	1.79999923706055 	0.00362187315049926 	
1.90000152587891 	1.57000102735037 	1.90000152587891 	0.00382588840811252 	
2 	1.57130061498174 	2 	0.00402892153057505 	
